##BLOCKS= 7          
Note:
PROTOCOL REVISION HISTORY:
v1.0.0: original protocol created (MDC)
v1.0.1: 06/30/05 - Updated, spell checked, & formatted to new style guide. (DW)
v1.0.2: 10/02/05 - Updated Reader Suitability section for v5.0 release. (DW)

READER SUITABILITY:
VMax, VersaMax
SpectraMax, Plus, Plus 384
SpectraMax 190, 340PC, 340PC 384
SpectraMax Gemini, Gemini XS, Gemini EM, Gemini XPS
SpectraMax M2, SpectraMax M5
FlexStation, II, II 384
~End
Note:
Basic Kinetic Protocol

Unfamiliar with SoftMax Pro software?
If you are new to SoftMax Pro software, we strongly recommended spending time familiarizing yourself with the powerful features by completing at least one of the tutorials located in the Tutorials folder.

Use this protocol as the starting point for kinetic assays that have unknowns that will have concentrations interpolated from a standard curve.  Modify the instrument setup for your assay.  You may add more groups of unknowns, controls, or standards to the template to fit your assay.
~End
Plate:	Plate01	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	501	7500	15				1	407	1	12	96	364	Automatic	None			12	Automatic			1	1	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
18:30	22.30	2300.525	2297.453	2364.36	2483.716	2348.986	2234.624	2418.348	2586.906	2550.615	3143.63	3547.744	611.451																																																																																					
18:45	22.30	2313.842	2318.663	2384.837	2499.686	2374.058	2254.801	2439.261	2590.264	2563.588	3147.188	3552.175	625.385																																																																																					
19:00	22.30	2323.953	2328.126	2393.37	2542.532	2377.58	2256.517	2448.146	2601.219	2571.509	3152.949	3541.54	624.923																																																																																					
19:15	22.30	2342.58	2346.892	2407	2536.836	2404.062	2275.217	2461.878	2615.798	2590.219	3183.064	3532.237	636.15																																																																																					
19:30	22.30	2349.356	2375.577	2428.139	2544.002	2419.063	2293.88	2467.983	2637.178	2596.848	3184.193	3530.146	634.511																																																																																					
19:45	22.30	2361.06	2378.028	2429.21	2568.71	2431.952	2305.612	2487.959	2651.024	2615.472	3190.614	3541.741	625.347																																																																																					
20:00	22.30	2377.031	2381.863	2446.561	2569.362	2448.128	2324.499	2490.365	2651.882	2625.611	3192.215	3552.95	630.368																																																																																					
20:15	22.30	2396.619	2399.66	2467.325	2570.444	2450.334	2323.218	2505.404	2661.765	2640.695	3215.798	3549.446	632.133																																																																																					
20:30	22.30	2404.624	2419.992	2467.939	2587.246	2464.275	2354.963	2521.099	2682.291	2637.633	3210.366	3552.91	629.462																																																																																					
20:45	22.30	2412.093	2434.29	2482.689	2607.136	2470.319	2359.973	2530.403	2685.583	2664.306	3210.896	3544.253	620.236																																																																																					
21:00	22.30	2429.15	2440.584	2498.74	2621.554	2483.363	2372.821	2540.754	2697.684	2671.152	3226.562	3538.892	621.967																																																																																					
